iter	Passed	Remaining
0	0	429
1	1	294
2	1	259
3	1	233
4	2	217
5	2	214
6	2	207
7	3	204
8	3	199
9	3	193
10	4	189
11	4	188
12	4	186
13	5	185
14	5	184
15	6	184
16	6	182
17	6	182
18	7	181
19	7	180
20	7	180
21	8	180
22	8	179
23	9	179
24	9	180
25	9	179
26	10	177
27	10	176
28	10	174
29	11	173
30	11	173
31	11	174
32	12	174
33	12	175
34	13	175
35	13	176
36	14	176
37	14	176
38	15	177
39	15	183
40	16	182
41	16	182
42	17	181
43	17	181
44	17	181
45	18	181
46	19	187
47	20	192
48	20	193
49	21	193
50	22	194
51	22	195
52	23	195
53	23	196
54	24	195
55	24	195
56	25	195
57	25	195
58	26	195
59	26	194
60	26	194
61	27	193
62	27	193
63	28	193
64	28	192
65	29	192
66	29	192
67	30	192
68	30	191
69	31	191
70	31	190
71	31	189
72	32	188
73	32	187
74	33	187
75	33	186
76	33	185
77	34	184
78	34	184
79	35	183
80	35	183
81	35	182
82	36	181
83	36	181
84	37	181
85	37	180
86	38	180
87	38	180
88	38	180
89	39	179
90	39	178
91	40	178
92	40	177
93	41	177
94	41	176
95	41	175
96	42	175
97	42	175
98	43	174
99	43	175
100	44	174
101	44	174
102	45	173
103	45	173
104	46	173
105	46	173
106	47	173
107	47	172
108	48	172
109	48	172
110	48	171
111	49	171
112	50	171
113	50	171
114	51	171
115	51	170
116	52	170
117	52	169
118	52	168
119	53	168
120	53	167
121	53	167
122	54	166
123	54	166
124	55	165
125	55	165
126	56	164
127	56	164
128	56	163
129	57	163
130	57	163
131	58	163
132	58	162
133	59	162
134	59	162
135	60	161
136	60	161
137	61	160
138	61	160
139	62	159
140	62	159
141	62	158
142	63	158
143	63	157
144	64	157
145	64	156
146	65	156
147	65	155
148	65	155
149	66	154
150	66	154
151	67	154
152	67	153
153	68	153
154	68	152
155	68	151
156	69	151
157	69	151
158	70	150
159	70	150
160	71	149
161	71	149
162	72	149
163	72	148
164	73	148
165	73	148
166	74	148
167	74	147
168	75	147
169	75	146
170	76	146
171	76	145
172	76	145
173	77	144
174	77	144
175	78	143
176	78	143
177	78	142
178	79	142
179	79	141
180	80	141
181	80	141
182	81	140
183	81	140
184	82	140
185	82	139
186	83	139
187	83	138
188	83	138
189	84	137
190	84	137
191	85	136
192	85	136
193	86	136
194	86	135
195	87	135
196	87	135
197	88	134
198	88	134
199	89	133
200	89	133
201	90	133
202	90	132
203	91	132
204	91	131
205	91	131
206	92	130
207	92	130
208	93	129
209	93	129
210	94	129
211	94	128
212	95	128
213	95	127
214	95	126
215	96	126
216	96	126
217	97	125
218	97	125
219	98	124
220	98	124
221	99	124
222	99	123
223	100	123
224	100	122
225	100	122
226	101	121
227	101	121
228	102	120
229	102	120
230	103	119
231	103	119
232	103	119
233	104	118
234	104	118
235	105	117
236	105	117
237	106	116
238	106	116
239	106	115
240	107	115
241	107	114
242	108	114
243	108	114
244	109	113
245	109	113
246	110	112
247	110	112
248	110	111
249	111	111
250	111	110
251	112	110
252	112	109
253	112	109
254	113	108
255	113	108
256	114	108
257	114	107
258	115	107
259	115	106
260	116	106
261	116	105
262	117	105
263	117	104
264	117	104
265	119	104
266	119	104
267	119	103
268	120	103
269	120	102
270	121	102
271	121	101
272	122	101
273	122	101
274	123	100
275	123	100
276	124	100
277	124	99
278	125	99
279	125	98
280	125	98
281	126	97
282	126	97
283	127	96
284	127	96
285	128	96
286	128	95
287	129	95
288	129	94
289	130	94
290	130	93
291	131	93
292	131	92
293	131	92
294	132	92
295	133	91
296	133	91
297	134	90
298	134	90
299	134	89
300	135	89
301	135	89
302	136	88
303	136	88
304	137	87
305	137	87
306	137	86
307	138	86
308	138	85
309	139	85
310	139	85
311	140	84
312	140	84
313	141	83
314	141	83
315	142	82
316	142	82
317	143	81
318	143	81
319	143	80
320	144	80
321	144	80
322	145	79
323	145	79
324	146	78
325	146	78
326	147	77
327	147	77
328	148	77
329	149	76
330	149	76
331	149	75
332	150	75
333	150	74
334	151	74
335	151	74
336	152	73
337	152	73
338	153	72
339	153	72
340	154	71
341	154	71
342	154	70
343	155	70
344	156	70
345	156	69
346	157	69
347	157	68
348	157	68
349	158	67
350	158	67
351	159	66
352	159	66
353	160	66
354	161	65
355	162	65
356	162	65
357	162	64
358	163	64
359	164	63
360	164	63
361	164	62
362	165	62
363	165	61
364	166	61
365	166	60
366	166	60
367	167	60
368	167	59
369	168	59
370	168	58
371	169	58
372	169	57
373	169	57
374	171	57
375	172	56
376	172	56
377	173	55
378	173	55
379	174	55
380	174	54
381	175	54
382	175	53
383	175	53
384	176	52
385	176	52
386	177	51
387	177	51
388	177	50
389	178	50
390	178	49
391	179	49
392	179	49
393	180	48
394	180	48
395	181	47
396	181	47
397	182	46
398	182	46
399	182	45
400	183	45
401	183	44
402	184	44
403	184	43
404	185	43
405	185	43
406	186	42
407	186	42
408	187	41
409	187	41
410	188	40
411	188	40
412	188	39
413	189	39
414	189	38
415	189	38
416	190	37
417	190	37
418	191	36
419	191	36
420	192	36
421	192	35
422	192	35
423	193	34
424	193	34
425	194	33
426	194	33
427	195	32
428	195	32
429	195	31
430	196	31
431	196	31
432	197	30
433	198	30
434	198	29
435	199	29
436	199	28
437	200	28
438	200	27
439	201	27
440	201	26
441	202	26
442	202	26
443	203	25
444	203	25
445	203	24
446	204	24
447	204	23
448	205	23
449	205	22
450	205	22
451	206	21
452	206	21
453	207	20
454	207	20
455	207	20
456	208	19
457	208	19
458	209	18
459	209	18
460	210	17
461	210	17
462	211	16
463	211	16
464	212	15
465	212	15
466	212	15
467	213	14
468	213	14
469	214	13
470	214	13
471	215	12
472	215	12
473	216	11
474	216	11
475	217	10
476	217	10
477	218	10
478	218	9
479	218	9
480	219	8
481	219	8
482	220	7
483	220	7
484	221	6
485	221	6
486	222	5
487	222	5
488	223	5
489	223	4
490	224	4
491	224	3
492	225	3
493	225	2
494	226	2
495	226	1
496	226	1
497	227	0
498	227	0
499	228	0
